Position,Song,Artist,Country of Origin,Year
81,The Cave ,Mumford & Sons , United Kingdom,2009
82,Sometimes ,Miami Horror , Australia,2009
83,Raindrops ,Basement Jaxx , United Kingdom,2009
84,United States of Eurasia (+Collateral Damage),Muse , United Kingdom,2009
85,Underdog ,Kasabian , United Kingdom,2009
86,Too Many Dicks (On The Dance Floor) ,Flight of the Conchords , New Zealand,2009
87,The Darkest Side ,The Middle East , Australia,2009
88,Creeping Out Sara ,NOFX , United States,2009
89,D.O.A. [Death of Auto-Tune],Jay Z , United States,2009
90,Kiss With A Fist ,Florence and the Machine , United Kingdom,2009
91,I've Got Friends ,Manchester Orchestra , United States,2009
92,Skeleton Boy ,Friendly Fires , United Kingdom,2009
93,Thump ,Bertie Blackman , Australia,2009
94,Blue Lips ,Regina Spektor , United States,2009
95,Panic Switch ,Silversun Pickups , United States,2009
96,Ghosts N Stuff ,deadmau5 featuring Rob Swire , Canada and  Australia,2009
97,Laughing With ,Regina Spektor , United States,2009
98,New Fang ,Them Crooked Vultures , United States,2009
99,Hell ,Tegan and Sara , Canada,2009
100,Wheels ,Foo Fighters , United States,2009
1,Sex On Fire ,Kings of Leon , United States,2008
2,Electric Feel ,MGMT , United States,2008
3,Use Somebody ,Kings of Leon , United States,2008
4,Walking On A Dream ,Empire of the Sun [nb 1] , Australia,2008
5,Kids ,MGMT , United States,2008
6,Talk Like That ,The Presets , Australia,2008
7,The Festival Song ,Pez featuring 360 and Hailey Cramer , Australia,2008
8,This Boys In Love ,The Presets , Australia,2008
9,That's Not My Name ,The Ting Tings , United Kingdom,2008
10,Jimmy Recard ,Drapht , Australia,2008
11,My Delirium ,Ladyhawke[nb 2] , New Zealand,2008
12,Embrace ,Pnau featuring Ladyhawke , Australia and  New Zealand,2008
13,The King is Dead ,The Herd , Australia,2008
14,No Sex For Ben ,The Rapture , United States,2008
15,Lights & Music ,Cut Copy , Australia,2008
16,You Don't Know Me (featuring Regina Spektor) - Explicit Album Version,Ben Folds featuring Regina Spektor , United States,2008
17,Dance Wiv Me - Radio Edit ,Dizzee Rascal featuring Calvin Harris and Chrome , United Kingdom,2008
18,Time to Pretend ,MGMT , United States,2008
19,Business Time ,Flight of the Conchords , New Zealand,2008
20,Broken Bones ,Birds of Tokyo , Australia,2008
21,Skinny Love ,Bon Iver , United States,2008
22,Silhouettic ,Birds of Tokyo , Australia,2008
23,White Noise ,The Living End , Australia,2008
24,Closer ,Kings of Leon , United States,2008
25,Never Miss A Beat ,Kaiser Chiefs , United Kingdom,2008
26,Paris Is Burning ,Ladyhawke , New Zealand,2008
27,The Lighthouse Song ,Josh Pyke , Australia,2008
28,That Beep ,Architecture in Helsinki , Australia,2008
29,Make You Happy ,Josh Pyke , Australia,2008
30,Oxford Comma ,Vampire Weekend , United States,2008
31,Bird of Feather ,Cog , Australia,2008
32,A-Punk ,Vampire Weekend , United States,2008
33,Always Where I Need To Be ,The Kooks , United Kingdom,2008
34,Burn Bridges ,The Grates , Australia,2008
35,"Dig, Lazarus, Dig!!! ",Nick Cave and the Bad Seeds , Australia,2008
36,I Will Possess Your Heart ,Death Cab for Cutie , United States,2008
37,I Said I'm Sorry ,British India , Australia,2008
38,Something Is Not Right With Me ,Cold War Kids , United States,2008
39,I Like You So Much Better When You're Naked ,Ida Maria , Norway,2008
40,Eye Of The Storm,Bliss n Eso , Australia,2008
41,I Will Never Love You More ,Soko , France,2008
42,Jungle Drum ,Emilíana Torrini , Iceland,2008
43,Ghosts ,Laura Marling , United Kingdom,2008
44,Flippers ,Art vs. Science , Australia,2008
45,Ice Cream (Triple J live acoustic version) ,Muscles[nb 4] , Australia,2008
46,The Fear ,Lily Allen , United Kingdom,2008
47,Coca Cola ,Little Red , Australia,2008
48,Stay With Me Bright Eyes ,Something with Numbers , Australia,2008
49,Young Love (feat. Laura Marling),Mystery Jets featuring Laura Marling , United Kingdom,2008
50,Breakout ,Ash Grunwald , Australia,2008
51,Wild Eyed Boy ,Birds of Tokyo , Australia,2008
52,Human ,The Killers , United States,2008
53,Window And The Watcher ,The Butterfly Effect , Australia,2008
54,Baby ,Pnau , Australia,2008
55,Your Party ,Ween , United States,2008
56,Yippiyo-Ay ,The Presets , Australia,2008
57,L.E.S. Artistes ,Santogold , United States,2008
58,Cape Cod Kwassa Kwassa ,Vampire Weekend , United States,2008
59,Where the City Meets the Sea ,The Getaway Plan , Australia,2008
60,The Most Beautiful Girl (In the Room) ,Flight of the Conchords , New Zealand,2008
61,The Sea Is Rising ,Bliss n Eso , Australia,2008
62,Sleepwalking ,Faker , Australia,2008
63,2020,The Herd , Australia,2008
64,Dawn of The Dead ,"Does It Offend You, Yeah? ", United Kingdom,2008
65,White Winter Hymnal ,Fleet Foxes , United States,2008
66,Farewell Rocketship ,Children Collide , Australia,2008
67,Hiphopopotamus vs. Rhymenoceros ,Flight of the Conchords , New Zealand,2008
68,We Are The People ,Empire of the Sun , Australia,2008
69,Ready For The Floor ,Hot Chip , United Kingdom,2008
70,Crawl ,Kings of Leon , United States,2008
71,One (Blake's Got A New Face) ,Vampire Weekend , United States,2008
72,No One's Gonna Love You ,Band of Horses , United States,2008
73,Spaceman ,The Killers , United States,2008
74,I'm Not Gonna Teach Your Boyfriend How To Dance With You ,Black Kids , United States,2008
75,Half Full Glass Of Wine ,Tame Impala , Australia,2008
76,Polka ,Yves Klein Blue , Australia,2008
77,Falling ,Drapht , Australia,2008
78,Shut Up and Let Me Go ,The Ting Tings , United Kingdom,2008
79,Jealousy ,Sparkadia , Australia,2008
80,Aw Yeah ,The Grates , Australia,2008
81,Pork And Beans ,Weezer , United States,2008
82,Ulysses ,Franz Ferdinand , United Kingdom,2008
83,Carve Your Name ,The Grates , Australia,2008
84,Re-Education (Through Labor) ,Rise Against , United States,2008
85,1981,Gyroscope , Australia,2008
86,Beautiful Ugly (Ft. Jess Harlen),Muph & Plutonic , Australia,2008
87,Another Way to Die,Jack White and Alicia Keys , United States,2008
88,The Day That Never Comes ,Metallica , United States,2008
89,Love Lockdown ,Kanye West , United States,2008
90,Fuck You ,Lily Allen , United Kingdom,2008
91,Neopolitan Dreams ,Lisa Mitchell , Australia,2008
92,Propane Nightmares ,Pendulum , Australia,2008
93,Gobbledigook ,Sigur Rós , Iceland,2008
94,Woodstock 2008 ,Bliss n Eso , Australia,2008
95,Wearing My Rolex - Radio Edit,Wiley , United Kingdom,2008
96,Flex (Dave Spoon Reflex) ,Dizzee Rascal , United Kingdom,2008
97,Are You Interested ,Cog , Australia,2008
98,"I Like It, I Love It ",Lyrics Born , United States,2008
99,Don't Worry About Nothin' (Ft. Jess Harlen),Muph & Plutonic , Australia,2008
100,It's A War - Remastered,Dukes of Windsor , Australia,2008
1,Knights Of Cydonia ,Muse , United Kingdom,2007
2,Straight Lines ,Silverchair , Australia,2007
3,On Call ,Kings of Leon , United States,2007
4,Better Than ,John Butler Trio , Australia,2007
5,This Heart Attack ,Faker , Australia,2007
6,The Pretender ,Foo Fighters , United States,2007
7,Harder Better Faster Stronger - Alive Extended 2007,Daft Punk , France,2007
8,Hang Me Up To Dry ,Cold War Kids , United States,2007
9,I'll Kill Her ,Soko , France,2007
10,Don't Fight It ,The Panics , Australia,2007
11,Vitriol ,Bluejuice , Australia,2007
12,Let's Dance to Joy Division ,The Wombats , United Kingdom,2007
13,Ruby ,Kaiser Chiefs , United Kingdom,2007
14,Ice Cream ,Muscles , Australia,2007
15,Lost And Running ,Powderfinger , Australia,2007
16,Snakeskin ,Gyroscope , Australia,2007
17,Paper Planes ,M.I.A. , United Kingdom,2007
18,My People ,The Presets , Australia,2007
19,Heart It Races ,Architecture in Helsinki , Australia,2007
20,Stronger ,Kanye West , United States,2007
21,The Salmon Dance ,The Chemical Brothers , United Kingdom,2007
22,Used to Get High ,John Butler Trio , Australia,2007
23,Icky Thump ,The White Stripes , United States,2007
24,Hunting For Witches ,Bloc Party , United Kingdom,2007
25,We Get Around ,Urthboy , Australia,2007
26,Recapturing The Vibe Restrung,Hilltop Hoods , Australia,2007
27,Just A Song About Ping Pong ,Operator Please , Australia,2007
28,Lazy Eye ,Silversun Pickups , United States,2007
29,Real Love (Like a Version) ,Regina Spektor , United States,2007
30,If You Keep Losing Sleep ,Silverchair , Australia,2007
31,Wasted ,Angus & Julia Stone , Australia,2007
32,Opinions Won't Keep You Warm At Night ,Kisschasy , Australia,2007
33,Fans ,Kings of Leon , United States,2007
34,1234,Feist , Canada,2007
35,D.A.N.C.E. ,Justice , France,2007
36,Hold Music ,Architecture in Helsinki , Australia,2007
37,Hospital Beds ,Cold War Kids , United States,2007
38,I Thought About You ,The Beautiful Girls , Australia,2007
39,Hearts on Fire ,Cut Copy , Australia,2007
40,I Still Remember ,Bloc Party , United Kingdom,2007
41,Dashboard ,Modest Mouse , United States,2007
42,Back In Your Head ,Tegan and Sara , Canada,2007
43,Superstar (feat. Matthew Santos),Lupe Fiasco , United States,2007
44,Teenagers ,My Chemical Romance , United States,2007
45,The Beast ,Angus & Julia Stone , Australia,2007
46,Tie Up My Hands ,British India , Australia,2007
47,What If ,Cog , Australia,2007
48,Flux ,Bloc Party , United Kingdom,2007
49,Fluorescent Adolescent ,Arctic Monkeys , United Kingdom,2007
50,So Many Nights ,The Cat Empire , Australia,2007
51,Peachy ,Missy Higgins , Australia,2007
52,Spray on Pants ,Kisschasy , Australia,2007
53,Steer ,Missy Higgins , Australia,2007
54,Golden Skans ,Klaxons , United Kingdom,2007
55,Good Excuse ,John Butler Trio , Australia,2007
56,Better People ,Xavier Rudd , Australia,2007
57,Into the galaxy - Chateau Marmont Remix,Midnight Juggernauts , Australia,2007
58,Invincible ,Muse , United Kingdom,2007
59,Chelsea Dagger ,The Fratellis , United Kingdom,2007
60,Charmer ,Kings of Leon , United States,2007
61,Wayside ,Birds of Tokyo , Australia,2007
62,No Longer There ,The Cat Empire , Australia,2007
63,"The Only Way - Original version from the Gotye album ""Like Drawing Blood""",Karnivool , Australia,2007
64,Australia ,The Shins , United States,2007
65,Smokers Outside the Hospital Doors ,Editors , United Kingdom,2007
66,I Don't Remember ,Powderfinger , Australia,2007
67,Rehab - Remix,Amy Winehouse featuring Jay Z , United Kingdom and  United States,2007
68,Penny on the Train Track ,Ben Kweller , United States,2007
69,Pogo ,Digitalism , Germany,2007
70,The Con ,Tegan and Sara , Canada,2007
71,Reach ,The Butterfly Effect , Australia,2007
72,Down the Line ,José González , Sweden,2007
73,Black Tattoo ,Grinspoon , Australia,2007
74,Run the Red Light ,British India , Australia,2007
75,Shoot the Runner ,Kasabian , United Kingdom,2007
76,Sweaty ,Muscles , Australia,2007
77,Get What You Want ,Operator Please , Australia,2007
78,Brianstorm ,Arctic Monkeys , United Kingdom,2007
79,Lines On Palms ,Josh Pyke , Australia,2007
80,Reflections Of A Sound ,Silverchair , Australia,2007
81,No Cars Go ,Arcade Fire , Canada,2007
82,Long Road To Ruin ,Foo Fighters , United States,2007
83,Pleased To Meet You ,Wolfmother , Australia,2007
84,Do It Again ,The Chemical Brothers , United Kingdom,2007
85,Down Boy ,Yeah Yeah Yeahs , United States,2007
86,Tombstone ,Midnight Juggernauts , Australia,2007
87,Eliza ,Jackson Jackson , Australia,2007
88,The Message ,The Cops , Australia,2007
89,"Sick, Sick, Sick ",Queens of the Stone Age , United States,2007
90,When the Lights Went Down ,Clare Bowditch and the Feeding Set , Australia,2007
91,Sew My Name ,Josh Pyke , Australia,2007
92,Sun Dirt Water ,The Waifs , Australia,2007
93,Dr Love ,The Bumblebeez , Australia,2007
94,Jigsaw Falling into Place ,Radiohead , United Kingdom,2007
95,Samson ,Regina Spektor , United States,2007
96,Love Me Like The World Is Ending ,Ben Lee , Australia,2007
97,Forever Song ,Josh Pyke , Australia,2007
98,The Heinrich Maneuver ,Interpol , United States,2007
99,Tick Tick Boom ,The Hives , Sweden,2007
100,Wild Strawberries ,Pnau , Australia,2007
1,One Crowded Hour ,Augie March , Australia,2006
2,"Black Fingernails, Red Wine ",Eskimo Joe , Australia,2006
3,The Hard Road ,Hilltop Hoods , Australia,2006
4,When You Were Young ,The Killers , United States,2006
5,I Don't Feel Like Dancin' ,Scissor Sisters , United States,2006
6,Crazy ,Gnarls Barkley , United States,2006
7,Chasing Cars ,Snow Patrol , United Kingdom,2006
8,Hearts A Mess ,Gotye , Australia,2006
9,Starlight ,Muse , United Kingdom,2006
10,19-20-20 ,The Grates , Australia,2006
11,Come On Come On ,Little Birdy , Australia,2006
12,Funky Tonight ,John Butler Trio , Australia,2006
13,Welcome to the Black Parade ,My Chemical Romance , United States,2006
14,Here It Goes Again ,OK Go , United States,2006
15,Smile ,Lily Allen , United Kingdom,2006
16,Young Folks ,Peter Bjorn and John , Sweden,2006
17,Science Is Golden ,The Grates , Australia,2006
18,Supermassive Black Hole ,Muse , United Kingdom,2006
19,"Kick, Push ",Lupe Fiasco , United States,2006
20,Fidelity ,Regina Spektor , United States,2006
21,Forever Young ,Youth Group , Australia,2006
22,Vicarious ,Tool , United States,2006
23,Clown Prince ,Hilltop Hoods , Australia,2006
24,Gold Lion ,Yeah Yeah Yeahs , United States,2006
25,Meds ,Placebo , United Kingdom,2006
26,Ta douleur ,Camille , France,2006
27,You Only Live Once ,The Strokes , United States,2006
28,"Steady, As She Goes ",The Saboteurs , United States,2006
29,The Pot ,Tool , United States,2006
30,When The Sun Goes Down ,Arctic Monkeys , United Kingdom,2006
31,Bones ,The Killers , United States,2006
32,Gone ,The Butterfly Effect , Australia,2006
33,Call Me Anytime ,The Cops , Australia,2006
34,Dani California ,Red Hot Chili Peppers , United States,2006
35,LDN ,Lily Allen , United Kingdom,2006
36,Nowhere Without You ,Bob Evans , Australia,2006
37,Don't You Think It's Time? ,Bob Evans , Australia,2006
38,Memories & Dust ,Josh Pyke , Australia,2006
39,A Slow Descent ,The Butterfly Effect , Australia,2006
40,Take Me Back To Your House ,Basement Jaxx , United Kingdom,2006
41,What A Great Night ,Hilltop Hoods , Australia,2006
42,Inside Outside ,The Grates , Australia,2006
43,Paper Aeroplane ,Angus & Julia Stone , Australia,2006
44,Love Me Or Hate Me ,Lady Sovereign , United Kingdom,2006
45,Roquefort (with Empire Horns),Karnivool featuring The Cat Empire , Australia,2006
46,Miss Murder ,AFI , United States,2006
47,The Truth About Cats and Dogs (Is That They Die) ,Pony Up , Canada,2006
48,On the Radio ,Regina Spektor , United States,2006
49,Fake Tales Of San Francisco ,Arctic Monkeys , United Kingdom,2006
50,Heart In a Cage ,The Strokes , United States,2006
51,Cigarettes and Suitcases ,Something for Kate , Australia,2006
52,Unpredictable ,The Herd , Australia,2006
53,Wake Up ,The Living End , Australia,2006
54,I Want You So Hard (Boy's Bad News) ,Eagles of Death Metal , United States,2006
55,Woman - Mstrkrft Remix,Wolfmother , Australia and  Canada,2006
56,Stopping All Stations ,Hilltop Hoods , Australia,2006
57,Private Education ,Josh Pyke , Australia,2006
58,Always on This Line ,Sarah Blasko , Australia,2006
59,Song To Say Goodbye ,Placebo , United Kingdom,2006
60,Over And Over ,Hot Chip , United Kingdom,2006
61,Everlong - Acoustic Version,Foo Fighters , United States,2006
62,We Are Your Friends - Justice Vs Simian,Justice vs. Simian , France,2006
63,Wolf Like Me ,TV on the Radio , United States,2006
64,Apple Of The Eye (Lay Me Down) ,Something with Numbers , Australia,2006
65,The Prayer ,Bloc Party , United Kingdom,2006
66,Phenomena ,Yeah Yeah Yeahs , United States,2006
67,Love Like Winter ,AFI , United States,2006
68,Happiness Is A Chemical ,Darren Hanlon , Australia,2006
69,Nausea ,Beck , United States,2006
70,"Such Great Heights - Alternative Mix - Live at Ben's Studio, Nashville, TN - October 2006",Ben Folds , United States,2006
71,Lies,The Grates , Australia,2006
72,Put Your Money Where Your Mouth Is ,Jet , Australia,2006
73,King Without a Crown ,Matisyahu , United States,2006
74,Hands Open ,Snow Patrol , United Kingdom,2006
75,Sundress ,Ben Kweller , United States,2006
76,Rip It Up ,Jet , Australia,2006
77,Recapturing The Vibe ,Hilltop Hoods , Australia,2006
78,Infra-Red ,Placebo , United Kingdom,2006
79,[explain],Sarah Blasko , Australia,2006
80,Love Train ,Wolfmother , Australia,2006
81,Gone Daddy Gone ,Gnarls Barkley , United States,2006
82,Painkiller ,Freestylers featuring Pendulum , United Kingdom and  Australia,2006
83,Get Up Outta the Dirt ,Butterfingers , Australia,2006
84,Black Swan ,Thom Yorke , United Kingdom,2006
85,Love Like Semtex ,Infadels , United Kingdom,2006
86,Touch The Sky ,Kanye West featuring Lupe Fiasco , United States,2006
87,Better Way - War Mix,Ben Harper , United States,2006
88,Tarantula ,Pendulum , Australia,2006
89,Mardy Bum ,Arctic Monkeys , United Kingdom,2006
90,Work It Out ,Jurassic 5 featuring Dave Matthews Band , United States,2006
91,The Only Difference Between Martyrdom and Suicide Is Press Coverage ,Panic! at the Disco , United States,2006
92,Alfie ,Lily Allen , United Kingdom,2006
93,Everything's Just Wonderful ,Lily Allen , United Kingdom,2006
94,Learnalilgivinanlovin ,Gotye , Australia,2006
95,New York ,Eskimo Joe , Australia,2006
96,Slide In Next To Me ,Red Riders , Australia,2006
97,World Wide Suicide ,Pearl Jam , United States,2006
98,Standing in the Way of Control ,The Gossip , United States,2006
99,Original Fire ,Audioslave , United States,2006
100,Come and Check Your Head ,Blue King Brown , Australia,2006
1,Wish You Well ,Bernard Fanning , Australia,2005
2,Catch My Disease ,Ben Lee , Australia,2005
3,Feel Good Inc,Gorillaz featuring De La Soul , United Kingdom and  United States,2005
4,Best of You ,Foo Fighters , United States,2005
5,DARE ,Gorillaz featuring Shaun Ryder , United Kingdom,2005
6,Mind's Eye ,Wolfmother , Australia,2005
7,My Doorbell ,The White Stripes , United States,2005
8,O Yeah ,End of Fashion , Australia,2005
9,Joker And The Thief ,Wolfmother , Australia,2005
10,Do You Want To ,Franz Ferdinand , United Kingdom,2005
11,"Figjam (Fuck I'm Good, Just Ask Me) ",Butterfingers , Australia,2005
12,Computer Camp Love ,Datarock , Norway,2005
13,Gold Digger ,Kanye West featuring Jamie Foxx , United States,2005
14,Songbird ,Bernard Fanning , Australia,2005
15,Flame Trees ,Sarah Blasko , Australia,2005
16,Apple Tree ,Wolfmother , Australia,2005
17,Blue Orchid ,The White Stripes , United States,2005
18,I Was Only 19 ,The Herd , Australia,2005
19,Middle of the Hill ,Josh Pyke , Australia,2005
20,DOA ,Foo Fighters , United States,2005
21,Hurricane ,Faker , Australia,2005
22,Do-Do's & Whoa-Oh's ,Kisschasy , Australia,2005
23,Two More Years ,Bloc Party , United Kingdom,2005
24,Foxtrot Uniform Charlie Kilo ,Bloodhound Gang , United States,2005
25,The Car Song ,The Cat Empire , Australia,2005
26,Fix You ,Coldplay , United Kingdom,2005
27,B.Y.O.B. ,System of a Down , United States,2005
28,Everyday I Love You Less and Less ,Kaiser Chiefs , United Kingdom,2005
29,Fast Girl ,Gyroscope , Australia,2005
30,Concrete Boots ,After the Fall , Australia,2005
31,The Special Two ,Missy Higgins , Australia,2005
32,My Enemy ,Cog , Australia,2005
33,Phoenix ,The Butterfly Effect , Australia,2005
34,I Predict a Riot ,Kaiser Chiefs , United Kingdom,2005
35,Girl ,Beck , United States,2005
36,Speed of Sound ,Coldplay , United Kingdom,2005
37,Dimension ,Wolfmother , Australia,2005
38,Sly ,The Cat Empire , Australia,2005
39,Colossal ,Wolfmother , Australia,2005
40,Helicopter ,Bloc Party , United Kingdom,2005
41,Dirty Harry ,Gorillaz featuring Bootie Brown and Children's Choir of San Fernandez ," United Kingdom,  United States and  Juan Fernández Islands",2005
42,Sweet As Sugar ,Grinspoon , Australia,2005
43,Autumn Flow ,Lior , Australia,2005
44,Sunny Road ,Emilíana Torrini , Iceland,2005
45,Positive Tension ,Bloc Party , United Kingdom,2005
46,Juicebox ,The Strokes , United States,2005
47,Stuff And Nonsense ,Missy Higgins , Australia,2005
48,An Honest Mistake ,The Bravery , United States,2005
49,What's On Your Radio ,The Living End , Australia,2005
50,I Bet You Look Good On The Dancefloor ,Arctic Monkeys , United Kingdom,2005
51,Be Yourself ,Audioslave , United States,2005
52,"America, Fuck Yeah ",DVDA , United States,2005
53,We're All In This Together ,Ben Lee , Australia,2005
54,Two Shoes - International,The Cat Empire , Australia,2005
55,Landed ,Ben Folds , United States,2005
56,It'5! ,Architecture in Helsinki , Australia,2005
57,Radio/Video ,System of a Down , United States,2005
58,Little Sister ,Queens of the Stone Age , United States,2005
59,Bloody Mother Fucking Asshole ,Martha Wainwright , United States,2005
60,All The Money or The Simple Life Honey ,The Dandy Warhols , United States,2005
61,Jesus of Suburbia ,Green Day , United States,2005
62,Beware Wolf ,Gyroscope , Australia,2005
63,Divorcee by 23 ,Clare Bowditch , Australia,2005
64,"Sitting, Waiting, Wishing ",Jack Johnson , United States,2005
65,Always Worth It ,Sarah Blasko , Australia,2005
66,Gabrielle ,Ween , United States,2005
67,The Denial Twist ,The White Stripes , United States,2005
68,…And We'll Dance on The Ashes of What's Left,The Beautiful Girls , Australia,2005
69,Jesus I Was Evil ,Butterfingers , Australia,2005
70,This Year ,The Mountain Goats , United States,2005
71,Run ,Cog , Australia,2005
72,I'm So Post Modern ,The Bedroom Philosopher , Australia,2005
73,Better Together ,Jack Johnson , United States,2005
74,The Sound of White ,Missy Higgins , Australia,2005
75,Qué Onda Guero ,Beck , United States,2005
76,Lonely Day,System of a Down , United States,2005
77,First Day Of My Life ,Bright Eyes , United States,2005
78,The Fighter ,After the Fall , Australia,2005
79,F**k Forever ,Babyshambles , United Kingdom,2005
80,Believe ,The Chemical Brothers , United Kingdom,2005
81,Let's Take The Long Way Home ,The Beautiful Girls , Australia,2005
82,Smoke It ,The Dandy Warhols , United States,2005
83,Filthy/Gorgeous ,Scissor Sisters , United States,2005
84,White Unicorn ,Wolfmother , Australia,2005
85,Tightrope Walker ,Epicure , Australia,2005
86,Into The Dark ,Ben Lee , Australia,2005
87,We Can't Hear You ,The Herd , Australia,2005
88,Like Eating Glass ,Bloc Party , United Kingdom,2005
89,Bastard ,Ben Folds , United States,2005
90,Walk Away ,Franz Ferdinand , United Kingdom,2005
91,Heartstopper ,Emilíana Torrini , Iceland,2005
92,Messages ,Xavier Rudd , Australia,2005
93,The Fallen ,Franz Ferdinand , United Kingdom,2005
94,On This Side ,Clare Bowditch , Australia,2005
95,Face Without a Name ,Kisschasy , Australia,2005
96,Six Months In A Leaky Boat ,Little Birdy , Australia,2005
97,Themata ,Karnivool , Australia,2005
98,Why Do You Love Me ,Garbage , United States,2005
99,Evie Pt. 1 (Let Your Hair Hang Down),The Wrights , Australia,2005
100,Party Started - International,The Cat Empire , Australia,2005
1,Take Me Out ,Franz Ferdinand , United Kingdom,2004
2,Scar ,Missy Higgins , Australia,2004
3,From The Sea ,Eskimo Joe , Australia,2004
4,Somebody Told Me ,The Killers , United States,2004
5,Black Betty - Edit,Spiderbait , Australia,2004
6,Ten Days ,Missy Higgins , Australia,2004
7,Something's Gotta Give (B-side),John Butler Trio , Australia,2004
8,Beautiful to Me ,Little Birdy , Australia,2004
9,Bless My Soul ,Powderfinger , Australia,2004
10,Jolene (Live) ,The White Stripes , United States,2004
11,Float On ,Modest Mouse , United States,2004
12,Coin-Operated Boy ,The Dresden Dolls , United States,2004
13,Mr. Brightside ,The Killers , United States,2004
14,It's Too Late (Ride On),Evermore , New Zealand,2004
15,Gamble Everything For Love ,Ben Lee , Australia,2004
16,Hard Act To Follow ,Grinspoon , Australia,2004
17,Yo Mama ,Butterfingers , Australia,2004
18,Fit but You Know It ,The Streets , United Kingdom,2004
19,Dry Your Eyes ,The Streets , United Kingdom,2004
20,Fucken Awesome ,Spiderbait , Australia,2004
21,Common People ,William Shatner , Canada,2004
22,American Idiot ,Green Day , United States,2004
23,Take Your Mama ,Scissor Sisters , United States,2004
24,Look What You've Done ,Jet , Australia,2004
25,Treat Yo Mama ,John Butler Trio , Australia,2004
26,Better Off Alone ,Grinspoon , Australia,2004
27,Don't U Eva ,Sarah Blasko , Australia,2004
28,Ch-Check It Out ,Beastie Boys , United States,2004
29,This Fire ,Franz Ferdinand , United Kingdom,2004
30,Girl Anachronism ,The Dresden Dolls , United States,2004
31,The Bucket ,Kings of Leon , United States,2004
32,Older Than You ,Eskimo Joe , Australia,2004
33,Chicken Payback ,The Bees , United Kingdom,2004
34,What the Fuck,Machine Gun Fellatio , Australia,2004
35,Not Many,Scribe , New Zealand,2004
36,Forget Her ,Jeff Buckley , United States,2004
37,Adelaide ,Ben Folds , United States,2004
38,Vertigo ,U2 , Ireland,2004
39,Smile Like You Mean It ,The Killers , United States,2004
40,This Is A Love Song ,Little Birdy , Australia,2004
41,Mass Destruction ,Faithless , United Kingdom,2004
42,This Old Love ,Lior , Australia,2004
43,Godhopping ,Dogs Die in Hot Cars , United Kingdom,2004
44,Take Me Out ,Scissor Sisters , United States,2004
45,Woman ,Wolfmother , Australia,2004
46,Amerika ,Rammstein , Germany,2004
47,I Can't Give You What I Haven't Got ,The Living End , Australia,2004
48,Memory Lane ,Elliott Smith , United States,2004
49,Casualty ,Missy Higgins , Australia,2004
50,The Dark of the Matinée ,Franz Ferdinand , United Kingdom,2004
51,What You Want ,John Butler Trio , Australia,2004
52,My Friend Robot ,Regurgitator , Australia,2004
53,English Summer Rain ,Placebo , United Kingdom,2004
54,Bridal Train - (studio version),The Waifs , Australia,2004
55,Walk Idiot Walk ,The Hives , Sweden,2004
56,Shelter ,Xavier Rudd , Australia,2004
57,For One Day - acoustic version,Evermore , New Zealand,2004
58,Laura ,Scissor Sisters , United States,2004
59,Solace ,Xavier Rudd , Australia,2004
60,Lachlan ,Your Wedding Night , Australia,2004
61,Flashdance ,Deep Dish , United States,2004
62,Smoke ,Eskimo Joe , Australia,2004
63,She Wants To Move ,N.E.R.D , United States,2004
64,Self Destruct in 5 ,Epicure , Australia,2004
65,Galvanize ,The Chemical Brothers , United Kingdom,2004
66,Little Yellow Spider ,Devendra Banhart , United States,2004
67,10 A.M. Automatic ,The Black Keys , United States,2004
68,Process This ,Powderfinger , Australia,2004
69,Push Up ,Freestylers , United Kingdom,2004
70,Four to the Floor ,Starsailor , United Kingdom,2004
71,C'mon C'mon ,The Von Bondies , United States,2004
72,Section 12 (Hold Me Now),The Polyphonic Spree , United States,2004
73,Sleepy Little Deathtoll Town ,The Panda Band , Australia,2004
74,Slow Hands ,Interpol , United States,2004
75,Paco Doesn't Love Me ,Spazzys , Australia,2004
76,Evil ,Interpol , United States,2004
77,Run - Revised Album Version,Snow Patrol , United Kingdom,2004
78,Tonight's The Night ,Little Birdy , Australia,2004
79,Dirty Hearts ,Dallas Crane , Australia,2004
80,"Young Man, Old Man (you ain't better than the rest)",The Dissociatives , Australia,2004
81,Rough Diamonds ,End of Fashion , Australia,2004
82,Drop The Pressure ,Mylo , United Kingdom,2004
83,Numb All Over ,Dallas Crane , Australia,2004
84,I Love You Cause I Have To ,Dogs Die in Hot Cars , United Kingdom,2004
85,The Drop ,Regurgitator , Australia,2004
86,I Was Born A Unicorn,The Unicorns , Canada,2004
87,Breathe Me ,Sia , Australia,2004
88,Imagine ,A Perfect Circle , United States,2004
89,Get What You Need ,Jet , Australia,2004
90,Lotion ,Greenskeepers , United States,2004
91,Somersault ,Decoder Ring , Australia,2004
92,Comfortably Numb ,Scissor Sisters , United States,2004
93,Hello ,John Butler Trio , Australia,2004
94,Ride ,The Vines , Australia,2004
95,Twenty Years - Edit,Placebo , United Kingdom,2004
96,Mirror Mirror ,After the Fall , Australia,2004
97,Safe Forever ,Gyroscope , Australia,2004
98,Catch Me Up ,Gomez , United Kingdom,2004
99,Always ,The Butterfly Effect , Australia,2004
100,I'm Gonna Haunt You ,Fabienne Delsol , France,2004
1,Are You Gonna Be My Girl ,Jet , Australia,2003
